№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1	Места стоянки легковых такси (1 и 2 этап)	УДС Суздальская ул. д.24	02.05.2012 4:00	31.12.2012 4:00
2	Места стоянки легковых такси (1 и 2 этап)	УДС Каховка ул. д.29а	02.05.2012 4:00	31.12.2012 4:00
3	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.11е	02.05.2012 4:00	31.12.2012 4:00
4	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.24б	02.05.2012 4:00	31.12.2012 4:00
5	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.86 к.1	02.05.2012 4:00	31.12.2012 4:00
6	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.88а	02.05.2012 4:00	31.12.2012 4:00
7	Места стоянки легковых такси (1 и 2 этап)	УДС Лескова ул. д.18а	02.05.2012 4:00	31.12.2012 4:00
8	Места стоянки легковых такси (1 и 2 этап)	УДС Хачатуряна ул. д.8	02.05.2012 4:00	31.12.2012 4:00
9	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.22	02.05.2012 4:00	31.12.2012 4:00
10	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш., д.26	02.05.2012 4:00	31.12.2012 4:00
11	Места стоянки легковых такси (1 и 2 этап)	УДС Масловка Нижняя ул., д.10	02.05.2012 4:00	31.12.2012 4:00
12	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошёвское ш., д.37	02.05.2012 4:00	31.12.2012 4:00
13	Места стоянки легковых такси (1 и 2 этап)	УДС Преображенская пл., д.11	02.05.2012 4:00	31.12.2012 4:00
14	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш., д.16	02.05.2012 4:00	31.12.2012 4:00
15	Места стоянки легковых такси (1 и 2 этап)	УДС Путейская ул., д.2 к.2	02.05.2012 4:00	31.12.2012 4:00
16	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.1	02.05.2012 4:00	31.12.2012 4:00
17	Места стоянки легковых такси (1 и 2 этап)	УДС Городецкая ул., д.5а	02.05.2012 4:00	31.12.2012 4:00
18	Места стоянки легковых такси (1 и 2 этап)	УДС Линии Октябрьской Железной Дороги ул., д.1 с.4	02.05.2012 4:00	31.12.2012 4:00
19	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.21	02.05.2012 4:00	31.12.2012 4:00
20	Места стоянки легковых такси (1 и 2 этап)	УДС Савеловского вокзала пл., д.2	02.05.2012 4:00	31.12.2012 4:00
21	Места стоянки легковых такси (1 и 2 этап)	УДС Будённого просп., д.53	02.05.2012 4:00	31.12.2012 4:00
22	Места стоянки легковых такси (1 и 2 этап)	УДС Первомайская ул. д.106-110	02.05.2012 4:00	31.12.2012 4:00
23	Места стоянки легковых такси (1 и 2 этап)	УДС Б. Академическая ул. д.35	02.05.2012 4:00	31.12.2012 4:00
24	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.89	02.05.2012 4:00	31.12.2012 4:00
25	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленоградская ул. д.15	02.05.2012 4:00	31.12.2012 4:00
26	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш. д.23	02.05.2012 4:00	31.12.2012 4:00
27	Места стоянки легковых такси (1 и 2 этап)	УДС Михалковская ул. д.4	02.05.2012 4:00	31.12.2012 4:00
28	Места стоянки легковых такси (1 и 2 этап)	УДС Литовский б-р д.22	02.05.2012 4:00	31.12.2012 4:00
29	Места стоянки легковых такси (1 и 2 этап)	УДС Выход из станции метро Динамо возле Московской аллеи напротив Ленинградский просп., д. 36 стр.39	02.05.2012 4:00	31.12.2012 4:00
30	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградский просп. д.37 к.6	02.05.2012 4:00	31.12.2012 4:00
31	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш. д.25	02.05.2012 4:00	31.12.2012 4:00
32	Места стоянки легковых такси (1 и 2 этап)	УДС Мира просп. д.97	02.05.2012 4:00	31.12.2012 4:00
33	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.2б	02.05.2012 4:00	31.12.2012 4:00
34	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.7	02.05.2012 4:00	31.12.2012 4:00
35	Места стоянки легковых такси (1 и 2 этап)	УДС в кармане возле входа на платформу Петровско-Разумовское, напртоив остановки Мосгортранса	02.05.2012 4:00	31.12.2012 4:00
36	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.13	02.05.2012 4:00	31.12.2012 4:00
37	Места стоянки легковых такси (1 и 2 этап)	УДС Ботаническая ул. д.29 к.1	02.05.2012 4:00	31.12.2012 4:00
38	Места стоянки легковых такси (1 и 2 этап)	УДС Плещеева ул. д.4	02.05.2012 4:00	31.12.2012 4:00
39	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.81	02.05.2012 4:00	31.12.2012 4:00
40	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.54-56	02.05.2012 4:00	31.12.2012 4:00
41	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.79а	02.05.2012 4:00	31.12.2012 4:00
42	Места стоянки легковых такси (1 и 2 этап)	УДС Сокольническая пл., д.9а	02.05.2012 4:00	31.12.2012 4:00
43	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш., д.11	02.05.2012 4:00	31.12.2012 4:00
44	Места стоянки легковых такси (1 и 2 этап)	УДС Щёлковское ш., д.100	02.05.2012 4:00	31.12.2012 4:00
45	Места стоянки легковых такси (1 и 2 этап)	УДС Юшуньская Малая ул. вл.1в с.2	02.05.2012 4:00	31.12.2012 4:00
46	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.17	02.05.2012 4:00	31.12.2012 4:00
47	Места стоянки легковых такси (1 и 2 этап)	УДС Менжинского ул., д.36	02.05.2012 4:00	31.12.2012 4:00
48	Места стоянки легковых такси (1 и 2 этап)	УДС Рижская пл., д.3	02.05.2012 4:00	31.12.2012 4:00
49	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., р-н Силино, вдоль ул. Болдов ручей	14.06.2012 4:00	31.12.2012 4:00
50	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., пересечение Центральный пр-т - Проезды 4900-4914	14.06.2012 4:00	31.12.2012 4:00
51	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Филаретовская ул.	13.06.2012 4:00	31.12.2012 4:00
52	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., пересечение Центральный пр-т-Савелкинский пр.	14.06.2012 4:00	31.12.2012 4:00
53	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., 4-ый Западный проезд	14.06.2012 4:00	31.12.2012 4:00
54	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Объездная дорога 18 микрорайон	13.06.2012 4:00	31.12.2012 4:00
55	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Привокзальная площадь	13.06.2012 4:00	31.12.2012 4:00
56	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Проезд 4921	13.06.2012 4:00	31.12.2012 4:00
57	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Молодогвардейская ул., д.57 ООТ Предприятие ВОС	28.06.2012 4:00	31.12.2012 4:00
58	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Новопеределкинская ул., -Боровское ш. в сторону МКАД	09.06.2012 4:00	31.12.2012 4:00
59	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Скульптора Мухиной ул., - Чоботовская ул. (переходно-скоростная полоса)	13.06.2012 4:00	31.12.2012 4:00
60	Выполнение локальных мероприятий ЦАО	УДС Щепкина ул.	06.07.2012 4:00	31.12.2012 4:00
61	Обустройство ТПУ	ТПУ м. Речной вокзал	19.04.2012 4:00	31.12.2012 4:00
62	Обустройство ТПУ	ТПУ м. Алтуфьево	19.04.2012 4:00	31.12.2012 4:00
63	Обустройство ТПУ	ТПУ м. ВДНХ	19.04.2012 4:00	31.12.2012 4:00
64	Обустройство ТПУ	ТПУ м. Водный стадион	20.04.2012 4:00	31.12.2012 4:00
65	Обустройство ТПУ	ТПУ м. Войковская	19.04.2012 4:00	31.12.2012 4:00
66	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.24-26	02.05.2012 4:00	31.12.2012 4:00
67	Места стоянки легковых такси (1 и 2 этап)	УДС Юности ул. д.5	02.05.2012 4:00	31.12.2012 4:00
68	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.49	02.05.2012 4:00	31.12.2012 4:00
69	Места стоянки легковых такси (1 и 2 этап)	УДС Бутырская ул. д.9	02.05.2012 4:00	31.12.2012 4:00
70	Места стоянки легковых такси (1 и 2 этап)	УДС Костромская ул. д.17	02.05.2012 4:00	31.12.2012 4:00
71	Места стоянки легковых такси (1 и 2 этап)	УДС Тимирязевская ул. д.17	02.05.2012 4:00	31.12.2012 4:00
72	Места стоянки легковых такси (1 и 2 этап)	УДС Яблочкова ул. д.19	02.05.2012 4:00	31.12.2012 4:00
73	Места стоянки легковых такси (1 и 2 этап)	УДС Беговая ул. д.22	02.05.2012 4:00	31.12.2012 4:00
74	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.39	02.05.2012 4:00	31.12.2012 4:00
75	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.82	02.05.2012 4:00	31.12.2012 4:00
76	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.1	02.05.2012 4:00	31.12.2012 4:00
77	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.22	02.05.2012 4:00	31.12.2012 4:00
78	Места стоянки легковых такси (1 и 2 этап)	УДС Автовокзал Щелковский	02.05.2012 4:00	31.12.2012 4:00
79	Места стоянки легковых такси (1 и 2 этап)	УДС Возле касс стадиона Локомотив	02.05.2012 4:00	31.12.2012 4:00
80	Места стоянки легковых такси (1 и 2 этап)	УДС Сокольническая пл. д.4а	02.05.2012 4:00	31.12.2012 4:00
81	Места стоянки легковых такси (1 и 2 этап)	УДС Измайловский Вал, фабрика Красная заря	02.05.2012 4:00	31.12.2012 4:00
82	Места стоянки легковых такси (1 и 2 этап)	УДС Бухвостова ул. д.12	02.05.2012 4:00	31.12.2012 4:00
83	Места стоянки легковых такси (1 и 2 этап)	УДС Измайловское ш. д.71 с.1б	02.05.2012 4:00	31.12.2012 4:00
84	Места стоянки легковых такси (1 и 2 этап)	УДС Свободный просп. д.19	02.05.2012 4:00	31.12.2012 4:00
85	Места стоянки легковых такси (1 и 2 этап)	УДС Свободный просп. д.33а	02.05.2012 4:00	31.12.2012 4:00
86	Места стоянки легковых такси (1 и 2 этап)	УДС Ул. 9-я Парковая (выход из ст. метро Первомайская)	02.05.2012 4:00	31.12.2012 4:00
87	Места стоянки легковых такси (1 и 2 этап)	УДС Семеновская Б. ул. д.26 с.2	02.05.2012 4:00	31.12.2012 4:00
88	Места стоянки легковых такси (1 и 2 этап)	УДС Черкизовская Б. ул. д.3 к.1	02.05.2012 4:00	31.12.2012 4:00
89	Места стоянки легковых такси (1 и 2 этап)	УДС Первомайская ул. д.93/20	02.05.2012 4:00	31.12.2012 4:00
90	Места стоянки легковых такси (1 и 2 этап)	УДС Буденного просп. д.18б	02.05.2012 4:00	31.12.2012 4:00
91	Места стоянки легковых такси (1 и 2 этап)	УДС Буденного просп. д.39 к.1	02.05.2012 4:00	31.12.2012 4:00
92	Места стоянки легковых такси (1 и 2 этап)	УДС Семеновская пл. д.1	02.05.2012 4:00	31.12.2012 4:00
93	Места стоянки легковых такси (1 и 2 этап)	УДС Центральный вход в парк Сокольники	02.05.2012 4:00	31.12.2012 4:00
94	Места стоянки легковых такси (1 и 2 этап)	УДС Щербаковская ул. д.53	02.05.2012 4:00	31.12.2012 4:00
95	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградский просп. д.62а	02.05.2012 4:00	31.12.2012 4:00
96	Места стоянки легковых такси (1 и 2 этап)	УДС Ганецкого пл. д.1а	02.05.2012 4:00	31.12.2012 4:00
97	Места стоянки легковых такси (1 и 2 этап)	УДС Вешняковская ул. д.18/1	02.05.2012 4:00	31.12.2012 4:00
98	Места стоянки легковых такси (1 и 2 этап)	УДС Купавенский Б. пр. д.6 с.1	02.05.2012 4:00	31.12.2012 4:00
99	Места стоянки легковых такси (1 и 2 этап)	УДС Улица Красный Казанец перед остановкой №9м	02.05.2012 4:00	31.12.2012 4:00
100	Места стоянки легковых такси (1 и 2 этап)	УДС Кусковская ул. д.2а	02.05.2012 4:00	31.12.2012 4:00
101	Места стоянки легковых такси (1 и 2 этап)	УДС Улица Реутовская, возле Гор. Больницы	02.05.2012 4:00	31.12.2012 4:00
102	Комплексное обустройство 43 улиц	УДС Черёмушкинская Большая ул.	09.08.2012 4:00	31.12.2012 4:00
103	Комплексное обустройство 43 улиц	УДС Шипиловская ул.	08.08.2012 4:00	31.12.2012 4:00
104	Комплексное обустройство 43 улиц	УДС Гарибальди ул.	26.09.2012 4:00	31.12.2012 4:00
105	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.25 м. каширская	02.05.2012 4:00	31.12.2012 4:00
106	Места стоянки легковых такси (1 и 2 этап)	УДС Каширское ш., д.42/1	02.05.2012 4:00	31.12.2012 4:00
107	Места стоянки легковых такси (1 и 2 этап)	УДС Хордовый проезд, Братеевская ул., д.21, Борисовские пруды д.16 корп. 5	02.05.2012 4:00	31.12.2012 4:00
108	Места стоянки легковых такси (1 и 2 этап)	УДС Проектируемый проезд 5396, вл. 15	02.05.2012 4:00	31.12.2012 4:00
109	Места стоянки легковых такси (1 и 2 этап)	УДС Мусы Джалиля ул., д.2/3	02.05.2012 4:00	31.12.2012 4:00
110	Места стоянки легковых такси (1 и 2 этап)	УДС Привольная ул., д.29	02.05.2012 4:00	31.12.2012 4:00
111	Места стоянки легковых такси (1 и 2 этап)	УДС Рязанский просп., д.1	02.05.2012 4:00	31.12.2012 4:00
112	Комплексное обустройство 43 улиц	УДС Коровинское ш.	06.09.2012 4:00	31.12.2012 4:00
113	Комплексное обустройство 43 улиц	УДС Коровинское ш.	17.10.2012 4:00	31.12.2013 4:00
114	Комплексное обустройство 43 улиц	УДС Коровинское ш.	12.09.2012 4:00	31.12.2012 4:00
115	Комплексное обустройство 43 улиц	УДС Коровинское ш.	23.08.2012 4:00	31.12.2012 4:00
116	Комплексное обустройство 43 улиц	УДС Коровинское ш.	12.09.2012 4:00	31.12.2012 4:00
117	Комплексное обустройство 43 улиц	УДС Коровинское ш.	17.10.2012 4:00	31.12.2013 4:00
118	Комплексное обустройство 43 улиц	УДС Коровинское ш.	06.08.2012 4:00	31.12.2012 4:00
119	Комплексное обустройство 43 улиц	УДС Коровинское ш.	12.09.2012 4:00	31.12.2012 4:00
120	Комплексное обустройство 43 улиц	УДС Коровинское ш.	06.08.2012 4:00	31.12.2012 4:00
121	Комплексное обустройство 43 улиц	УДС Коровинское ш.	06.08.2012 4:00	31.12.2012 4:00
122	Комплексное обустройство 43 улиц	УДС Академика Скрябина ул.	08.08.2012 4:00	31.12.2012 4:00
123	Комплексное обустройство 43 улиц	УДС Академика Скрябина ул.	08.08.2012 4:00	31.12.2012 4:00
124	Комплексное обустройство 43 улиц	УДС Люблинская ул.	08.08.2012 4:00	31.12.2012 4:00
125	Комплексное обустройство 43 улиц	УДС Люблинская ул.	08.08.2012 4:00	31.12.2012 4:00
126	Комплексное обустройство 43 улиц	УДС Люблинская ул.	08.08.2012 4:00	31.12.2012 4:00
127	Комплексное обустройство 43 улиц	УДС Голубинская ул.	03.08.2012 4:00	31.12.2012 4:00
128	Комплексное обустройство 43 улиц	УДС Голубинская ул.	03.08.2012 4:00	31.12.2012 4:00
129	Комплексное обустройство 43 улиц	УДС Голубинская ул.	27.07.2012 4:00	31.12.2012 4:00
130	Комплексное обустройство 43 улиц	УДС Голубинская ул.	03.08.2012 4:00	31.12.2012 4:00
131	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	02.08.2012 4:00	31.12.2012 4:00
132	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	02.08.2012 4:00	31.12.2012 4:00
133	Комплексное обустройство 43 улиц	УДС Миклухо-Маклая ул.	02.08.2012 4:00	31.12.2012 4:00
134	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	08.08.2012 4:00	31.12.2012 4:00
135	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	08.08.2012 4:00	31.12.2012 4:00
136	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	08.08.2012 4:00	31.12.2012 4:00
137	Комплексное обустройство 43 улиц	УДС Нахимовский просп.	09.08.2012 4:00	31.12.2012 4:00
138	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	09.08.2012 4:00	31.12.2012 4:00
139	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	09.08.2012 4:00	31.12.2012 4:00
140	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	08.08.2012 4:00	31.12.2012 4:00
141	Комплексное обустройство 43 улиц	УДС Новоясеневский просп.	08.08.2012 4:00	31.12.2012 4:00
142	Комплексное обустройство 43 улиц	УДС Одесская ул.	06.08.2012 4:00	31.12.2012 4:00
143	Комплексное обустройство 43 улиц	УДС Симферопольский б-р	08.08.2012 4:00	31.12.2012 4:00
144	Комплексное обустройство 43 улиц	УДС Симферопольский б-р	08.08.2012 4:00	31.12.2012 4:00
145	Комплексное обустройство 43 улиц	УДС Тёплый Стан ул.	03.08.2012 4:00	31.12.2012 4:00
146	Комплексное обустройство 43 улиц	УДС Тёплый Стан ул.	27.07.2012 4:00	31.12.2012 4:00
147	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Скульптора Мухиной ул.,  - Чоботовская ул. (уширение проезжей части)	13.06.2012 4:00	31.12.2012 4:00
148	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Славянский б-р,  - Давыдковская ул. ООТ Детский сад	09.06.2012 4:00	31.12.2012 4:00
149	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Славянский б-р, - Кременчугская ул. ООТ Алексея Свиридова	09.06.2012 4:00	31.12.2012 4:00
150	Парковочное пространство на УДС	УДС Гнездниковский Большой пер......... Кисловский Ср. пер пр1 титул 2012г.	13.06.2012 4:00	31.12.2012 4:00
151	Парковочное пространство на УДС	УДС Георгиевский пер. ... Покровка ул. пр1 титул 2012г.	13.06.2012 4:00	31.12.2012 4:00
152	Парковочное пространство на УДС	УДС Биржевая пл. ... Яузский б-р пр1 титул 2012г.	13.06.2012 4:00	31.12.2012 4:00
153	Устройство ОРП и ПП (ед)	ПП Липецкая ул.	16.05.2012 4:00	31.12.2012 4:00
154	Устройство ОРП и ПП (ед)	ПП Липецкая ул.	12.09.2012 4:00	31.12.2012 4:00
155	Устройство ОРП и ПП (ед)	ПП Пятницкое ш.	21.05.2012 4:00	31.12.2012 4:00
156	Устройство ОРП и ПП (ед)	ОРП Ярославское ш.	06.08.2012 4:00	31.12.2012 4:00
157	Устройство ОРП и ПП (ед)	ОРП Ярославское ш.	19.11.2012 4:00	31.12.2012 4:00
158	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	27.07.2012 4:00	31.12.2012 4:00
159	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	12.11.2012 4:00	31.12.2012 4:00
160	Устройство ОРП и ПП (ед)	ОРП Энтузиастов ш.	27.07.2012 4:00	31.12.2012 4:00
161	Устройство ОРП и ПП (ед)	ОРП Братеевская ул. (3 мкр Братеево)	08.09.2012 4:00	31.12.2012 4:00
162	Устройство ОРП и ПП (ед)	ОРП Братеевская ул. (3 мкр Братеево)	30.07.2012 4:00	31.12.2012 4:00
163	Устройство ОРП и ПП (ед)	ОРП Привольная ул. вл.71 (6 мкр Жулебино)	14.09.2012 4:00	31.12.2012 4:00
164	Устройство ОРП и ПП (ед)	ОРП Профсоюзная ул. (Генерала Тюленева)	30.07.2012 4:00	31.12.2012 4:00
165	Устройство ОРП и ПП (ед)	ОРП Профсоюзная ул. (Генерала Тюленева)	30.07.2012 4:00	31.12.2012 4:00
166	Устройство ОРП и ПП (ед)	ОРП Ленинградское ш.	17.08.2012 4:00	31.12.2012 4:00
167	Устройство ОРП и ПП (ед)	ОРП Ленинградское ш.	19.04.2012 4:00	31.12.2012 4:00
168	Места стоянки легковых такси (1 и 2 этап)	УДС Машиностроения 1-я ул., д.7	02.05.2012 4:00	31.12.2012 4:00
169	Места стоянки легковых такси (1 и 2 этап)	УДС Гурьянова ул., д.2 к.1 м. Печатники	02.05.2012 4:00	31.12.2012 4:00
170	Места стоянки легковых такси (1 и 2 этап)	УДС Шарикоподшипниковская ул., д.13/2	02.05.2012 4:00	31.12.2012 4:00
171	Места стоянки легковых такси (1 и 2 этап)	УДС Краснодарская ул. ТЦ Москва	02.05.2012 4:00	31.12.2012 4:00
172	Места стоянки легковых такси (1 и 2 этап)	УДС Краснодонская ул. м. Волжская	02.05.2012 4:00	31.12.2012 4:00
173	Места стоянки легковых такси (1 и 2 этап)	УДС Хлобыстова ул., д.2	02.05.2012 4:00	31.12.2012 4:00
174	Места стоянки легковых такси (1 и 2 этап)	УДС Хвалынский б-р, д.5	02.05.2012 4:00	31.12.2012 4:00
175	Места стоянки легковых такси (1 и 2 этап)	УДС Генерала Кузнецова ул., д.16	02.05.2012 4:00	31.12.2012 4:00
176	Места стоянки легковых такси (1 и 2 этап)	УДС Привольная ул., д.71	02.05.2012 4:00	31.12.2012 4:00
177	Места стоянки легковых такси (1 и 2 этап)	УДС Рязанский просп., д.2 ТЦ Город	02.05.2012 4:00	31.12.2012 4:00
178	Места стоянки легковых такси (1 и 2 этап)	УДС Волгоградский просп., д.119а м. Кузьминки	02.05.2012 4:00	31.12.2012 4:00
179	Места стоянки легковых такси (1 и 2 этап)	УДС Трофимова ул., д.35/20 м.Кожуховская	02.05.2012 4:00	31.12.2012 4:00
180	Места стоянки легковых такси (1 и 2 этап)	УДС Мельникова ул. д.7	02.05.2012 4:00	31.12.2012 4:00
181	Места стоянки легковых такси (1 и 2 этап)	УДС Энтузиастов ш., д.7а ТЦ Рогожская застава	02.05.2012 4:00	31.12.2012 4:00
182	Места стоянки легковых такси (1 и 2 этап)	УДС Карачаровское ш., д.15	02.05.2012 4:00	31.12.2012 4:00
183	Места стоянки легковых такси (1 и 2 этап)	УДС Энтузиастов ш., д.26 пл. Новая	02.05.2012 4:00	31.12.2012 4:00
184	Места стоянки легковых такси (1 и 2 этап)	УДС Госпитальная ул., д.14/1	02.05.2012 4:00	31.12.2012 4:00
185	Места стоянки легковых такси (1 и 2 этап)	УДС Ладожская ул., д.2/37, стр.4	02.05.2012 4:00	31.12.2012 4:00
186	Места стоянки легковых такси (1 и 2 этап)	УДС Мясницкий пр., д.4/2 м. Красные ворота	02.05.2012 4:00	31.12.2012 4:00
187	Места стоянки легковых такси (1 и 2 этап)	УДС Арбат ул., д.1	02.05.2012 4:00	31.12.2012 4:00
188	Места стоянки легковых такси (1 и 2 этап)	УДС м. Сухаревская	02.05.2012 4:00	31.12.2012 4:00
189	Места стоянки легковых такси (1 и 2 этап)	УДС Цветной б-р, д.15 м. Цветной бульвар	02.05.2012 4:00	31.12.2012 4:00
190	Места стоянки легковых такси (1 и 2 этап)	УДС Петровка ул., д.10	02.05.2012 4:00	31.12.2012 4:00
191	Места стоянки легковых такси (1 и 2 этап)	УДС Пречистенских Ворот пл. вл. 1 стр.6 м. Кропоткинская	02.05.2012 4:00	31.12.2012 4:00
192	Места стоянки легковых такси (1 и 2 этап)	УДС Театральный пр., д.1/6	02.05.2012 4:00	31.12.2012 4:00
193	Места стоянки легковых такси (1 и 2 этап)	УДС Театральный пр., д.2	02.05.2012 4:00	31.12.2012 4:00
194	Места стоянки легковых такси (1 и 2 этап)	УДС Славянская пл., м. Китай-город	02.05.2012 4:00	31.12.2012 4:00
195	Места стоянки легковых такси (1 и 2 этап)	УДС Котельническая наб., д.1/15	02.05.2012 4:00	31.12.2012 4:00
196	Места стоянки легковых такси (1 и 2 этап)	УДС Крымский Вал ул., парк им. Горького	02.05.2012 4:00	31.12.2012 4:00
197	Места стоянки легковых такси (1 и 2 этап)	УДС Болотная пл.	02.05.2012 4:00	31.12.2012 4:00
198	Места стоянки легковых такси (1 и 2 этап)	УДС Серафимовича ул., д.2 к.10	02.05.2012 4:00	31.12.2012 4:00
