№ строки	Название	Адрес	Руководитель МФЦ	Телефон	График работы служб в МФЦ	Услуги в МФЦ	Дополнительные услуги в МФЦ	Дата открытия
1	МФЦ района Косино-Ухтомский	ул. Большая Косинская, д.16, корп.1			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
2	МФЦ района Капотня	Капотня, 2-й квартал, д.22			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
3	МФЦ района Сокол	Чапаевский пер., д.16			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
4	МФЦ района Замоскворечье	ул. Бахрушина, д. 13	Загрябина Лариса Владимировна	(495) 666-30-80	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	27.09.2011
5	МФЦ района Восточное Дегунино	Дубнинская ул., д. 40а, корп. 1	Марков Владимир Евгеньевич	(495) 531-30-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	06.02.2012
6	МФЦ района Свиблово	Игарский пр., д. 8	Марон Бронислав Автандилович	(495) 276-01-73	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	26.12.2011
7	МФЦ района Южное Медведково	Полярная ул., д. 2	Филяева Зинаида Александровна	(495) 276-27-97	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	13.02.2012
8	МФЦ района Северное Медведково	ул. Тихомирова, д. 12, корп. 1	Иванникова Татьяна Юрьевна	(495) 276-11-83	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	10.09.2012
9	МФЦ района Ростокино	ул. Бажова, д. 6	Земенков Михаил Владимирович	(495) 276-11-26	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет	17.09.2012
10	МФЦ района Измайлово	10-я Парковая ул., д. 20	Колчерина Светлана Юрьевна	(499) 940-02-75	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	30.01.2012
11	МФЦ района Соколина Гора	Большая Семёновская ул., д. 23а	Честнова Ирина Викторовна	(499) 940-17-12	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	01.10.2012
12	МФЦ района Новогиреево	ул. Алексея Дикого, д. 3	Цветкова Людмила Леонидовна	(499) 940-92-91	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	22.10.2012
13	МФЦ района Лефортово	пр. Завода Серп и Молот, д. 10	Жучков Сергей Валерьевич	(495) 531-09-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	22.08.2011
14	МФЦ района Нижегородский	пр. Завода Серп и Молот, д. 10	Куракин Владимир Борисович	(495) 531-00-80	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	22.08.2011
15	МФЦ района Печатники	Шоссейная ул., д. 86	Сергеев Александр Николаевич	(495) 530-44-30	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	17.10.2011
16	МФЦ района Марьино	Совхозная ул., д. 41	Скороспелова Наталья Николаевна	(499) 940-31-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	17.09.2012
17	МФЦ района Южнопортовый	3-й Крутицкий пер., д. 11	Коковкин Анатолий Анатольевич	(499) 940-46-67	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	15.10.2012
18	МФЦ района Некрасовка	Рождественская ул., д. 21, корп. 6	Шутова Анастасия Владимировна	(499) 940-43-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет	22.10.2012
19	МФЦ района Нагорный	Варшавское шоссе, д.47, корп. 4	Некрасова Надежда Александровна	(499) 940-43-65	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	20.02.2012
20	МФЦ района Нагатино-Садовники	Варшавское шоссе, д.47, корп. 4		(499) 940-43-74	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	27.02.2012
21	МФЦ района Царицыно	ул. Медиков, д. 1/1, корп. 3	Мантрова Светлана Ивановна	(499) 940-44-68	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет	15.10.2012
22	МФЦ района Южное Бутово	ул. Маршала Савицкого, д. 30	Гоч Сергей Степанович	(499) 940-98-18	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	26.03.2012
23	МФЦ района Тёплый Стан	ул. Академика Варги, д. 26а	Кузьменко Елена Николаевна	(499) 940-98-58	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы	02.05.2012
24	МФЦ района Тропарёво-Никулино	просп. Вернадского, д. 97, корп. 3	Орловский Игорь Константинович	(499) 940-98-01	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	13.03.2012
25	МФЦ района Фили-Давыдково	Кременчугская ул., д. 9	Хрол Людмила Леонидовна	(499) 940-96-78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет	08.10.2012
26	МФЦ района Филёвский Парк	Новозаводская ул., д. 25, корп. 1	Есина Ольга Викторовна	(499) 940-34-20	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	22.10.2012
27	МФЦ района Можайский	ул. Маршала Неделина, д. 40	Сапожникова Анастасия Сергеевна	(499) 940-32-50	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	29.10.2012
28	МФЦ района Кунцево	ул. Маршала Неделина, д. 40	Мейер Виктор Викторович	(499) 940-18-30	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет	29.10.2012
29	МФЦ района Хорошево-Мнёвники	просп. Маршала Жукова, д. 35, корп. 1	Беркут Виктория Николаевна	(499) 940-99-06	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;нотариальные и юридические услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	04.06.2012
30	межрайонный МФЦ районов Матушкино и Савёлки	г. Зеленоград, корп. 337	Ещенко Оксана Александровна	(499) 940-15-55	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы	31.10.2011
31	МФЦ района Текстильщики	Волжский бульвар, квартал 95, корп.2	Зацепина Ольга Владимировна	(499) 940 32 30	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	03.12.2012
32	МФЦ района Ломоносовский	ул.Гарибальди, д.6, корп.1	Лыщенко Иван Иванович	(499) 940 00 41	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, оплата госпошлин и коммунальных услуг через платоматы	10.12.2012
33	МФЦ района Гагаринский	ул.Вавилова, д.81а	Миронов Кирилл Владимирович	(499) 940 19 18	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	17.12.2012
34	МФЦ района Бескудниковский	ул.Дубнинская, д.40а, корп.1		(495) 531 31 00	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
35	МФЦ района Крылатское	ул.Крылатские Холмы, д.30, корп.9	Лисовский Игорь Викторович	(499) 940 09 19	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
36	МФЦ района Крюково	Зеленоград, корп.2019	Восьмерик Юрий Иванович	(499) 940 15 78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
37	МФЦ района Таганский	Рогожский вал, д.13, корп.2	Глущенко Сергей Валентинович	(499) 940 47 57	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
38	МФЦ райлона Восточный	ул. 9 Мая, д.12		(499) 940 97 69	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
39	МФЦ района Ивановское	ул. Алексея Дикого, д.3	Пермякова Наталья Борисовна	(499) 940 45 78	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платоматы	24.12.2012
40	МФЦ района Солнцево	ул.Домостроительная, д.2а	Реймер Ирина Викторовна	(499) 940 32 70	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
41	МФЦ района Внуково	ул.Базовая, д.2, корп.2	Новиков Андрей Сергеевич		http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc	фото- и копировальные услуги; доступ к сети Интернет	24.12.2012
42	МФЦ района Бирюлево Западное	Востряковский проезд, д.22Б		(499) 940 32 62	http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
43	МФЦ района Братеево	Борисовские пруды, д.18, корп.3	Шульгин Дмитрий Александрович		http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2012
44	МФЦ района Северное Тушино	ул.Василия Петушкова, д.13, корп.1			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
45	МФЦ района Южное Тушино	ул.Василия Петушкова, д.13, корп.1			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
46	МФЦ района Бирюлёво Восточное	ул.Загорьевская, д.10, корп.4			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		14.01.2013
47	МФЦ района Вешняки	ул.Алексея Дикого, д.3			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		24.12.2013
48	МФЦ района Люблино	ул.Люблинская, 53			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
49	МФЦ района Чертаново Центральное	Россошанский пр., д.4Б			http://pgu.mos.ru/ru/mfc/	http://pgu.mos.ru/ru/services/#mfc		18.01.2013
